会う,あう,au,to meet
開く,あく,aku,to open
開ける,あける,akeru,to open
NA,あげる,ageru,to give
遊ぶ,あそぶ,asobu,to play
浴びる,あびる,abiru,to take a shower
洗う,あらう,arau,to wash
有る,ある,aru,"to be, to exist"
ある,ある,aru,to possess
歩く,あるく,aruku,to walk
言う,いう,iu,"to say, to tell"
行く,いく,iku,to go
NA,いる,iru,"need, must haven be required"
NA,いる,iru,to exist
入れる,いれる,ireru,"to insert, to put in"
歌う,うたう,utau,to sing
生まれる,うまれる,umareru,to be born
売る,うる,uru,to sell
起きる,おきる,okiru,"to get up, to stand up"
NA,おく,oku,to put
送る,おくる,okuru,to send
押す,おす,osu,to push
覚える,おぼえる,oboeru,"to memorize, to remember"
泳ぐ,およぐ,oyogu,to swim
降りる,おりる,oriru,to get off
終わる,おわる,owaru,to end
買う,かう,kau,to buy
返す,かえす,kaesu,to return an object
帰る,かえる,kaeru,to return home
NA,かかる,kakaru,to take time or money
書く,かく,kaku,to write
NA,かける,kakeru,to wear
NA,かける,kakeru,to make a phone call
貸す,かす,kasu,to lend
冠る,かぶる,kaburu,to put on a hat
借りる,かりる,kariru,to borrow
消える,きえる,kieru,"to go out, to vanish"
聞く,きく,kiku,to listen
切る,きる,kiru,to cut
着る,きる,kiru,"to wear, to put on"
来る,くる,kuru,to come
消す,けす,kesu,"to turn off, to switch off"
答える,こたえる,kotaeru,to answer
困る,こまる,komaru,to be in trouble
咲く,さく,saku,to blossom
NA,さす,sasu,to open an umbrella
死ぬ,しぬ,shinu,"to die, to pass away"
閉まる,しまる,shimaru,to close
閉める,しめる,shimeru,to close
締める,しめる,shimeru,to fasten a belt
知る,しる,shiru,to know
吸う,すう,suu,"to breath, to smoke"
住む,すむ,sumu,"to live, to reside somewhere"
する,する,suru,to do
座る,すわる,suwaru,to sit
出す,だす,dasu,"to take out, hand in"
立つ,たつ,tatsu,to stand
頼む,たのむ,tanomu,"to ask, to request"
食べる,たべる,taberu,to eat
違う,ちがう,chigau,to be different
使う,つかう,tsukau,to use
疲れる,つかれる,tsukareru,to get tired
着く,つく,tsuku,to arrive
作る,つくる,tsukuru,"to make, to produce"
点ける,つける,tsukeru,to turn on
勤める,つとめる,tsutomeru,to work for someone
出かける,でかける,dekakeru,to go out
出来る,できる,dekiru,can do
出る,でる,deru,to leave
飛ぶ,とぶ,tobu,to fly
止まる,とまる,tomaru,to stop
取る,とる,toru,to take
撮る,とる,toru,to take a photo
鳴く,なく,naku,"to sing, mew, moo"
並ぶ,ならぶ,narabu,to form a line
並べる,ならべる,naraberu,to line up
NA,なる,naru,to become
脱ぐ,ぬぐ,nugu,to take off clothes
寝る,ねる,neru,to sleep
登る,のぼる,noboru,to climb up
飲む,のむ,nomu,to drink
乗る,のる,noru,"to take, to ride"
入る,はいる,hairu,to enter
履く,はく,haku,to put on shoes
始まる,はじまる,hajimaru,"to begin, to start"
走る,はしる,hashiru,to run
働く,はたらく,hataraku,to work
話す,はなす,hanasu,"to talk, to speak, to tell"
張る,はる,haru,"to put something on, to stick"
晴れる,はれる,hareru,to clear up
引く,ひく,hiku,to pull
弾く,ひく,hiku,to play an instrument
吹く,ふく,fuku,to blow (wind)
降る,ふる,furu,"to fall (rain, snow)"
曲がる,まがる,magaru,to turn
待つ,まつ,matsu,to wait
磨く,みがく,migaku,"to polish, to brush"
見せる,みせる,miseru,to show
見る,みる,miru,"to see, to watch"
持つ,もつ,motsu,"to have, to own"
休む,やすむ,yasumu,to rest
NA,やる,yaru,to do
呼ぶ,よぶ,yobu,to call
読む,よむ,yomu,to read
分かる,わかる,wakaru,"to know, to understand"
忘れる,わすれる,wasureru,to forget
渡す,わたす,watasu,to hand over
渡る,わたる,wataru,to cross
